# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+E333		^⿰火⿱日华$
U+E334		^⿰牜厉$
U+E335		^⿰𤣩来$
U+E336		^⿰𤣩华$
U+E337		^⿱斩石$
U+E338		^⿰禾韦$
U+E339		^⿱献土$
U+E33A		^⿰纟罔$
U+E33B		^⿰纟𨸁$
U+E33C		^⿰纟廛$
U+E33D		^⿱艹稣$
U+E33E		^⿰讠东$
U+E33F		^⿰讠番$
U+E340		^⿰车舀$
U+E341		^⿱车⿰车车$
U+E342		^⿰钅元$
U+E343		^⿰钅利$
U+E344		^⿰钅军$
U+E345		^⿰钅畐$
U+E346		^⿰钅豈$
U+E347		^⿰钅常$
U+E348		^⿰钅荣$
U+E349		^⿰豆页$
U+E34A		^⿺风昜$
U+E34B		^⿰焱风$
U+E34C		^⿱飞⿰飞飞$
U+E34D		^⿰马周$
U+E34E		^⿰马飞$
U+E34F		^⿰田鸟$
U+E350		^⿱𤇾鸟$
U+E351		^⿱龙⿰龙龙$
U+E352		^⿰马异$
U+E353		^⿱执云$
U+E354		^⿰亻圣$
U+E355		^⿱冖龙$
U+E356		^⿱汤土$
U+E357		^⿰女𬜯$
U+E358		^⿰女闵$
U+E359		^⿰女罗$
U+E35A		^⿰女弯$
U+E35B		^⿰弓乔$
U+E35C		^⿰忄风$
U+E35D		^⿰日宾$
U+E35E		^⿰木养$
U+E35F		^⿰氵亚$
U+E360		^⿰氵陈$
U+E361		^⿰氵阁$
U+E362		^⿰氵献$
U+E364		^⿰火贵$
U+E365		^⿰火莹$
U+E366		^⿰火营$
U+E367		^⿰𤣩夹$
U+E368		^⿰𤣩仑$
U+E369		^⿰𤣩亚$
U+E36A		^⿰𤣩贞$
U+E36B		^⿰𤣩风$
U+E36C		^⿰𤣩岂$
U+E36D		^⿰𤣩⿱山⿰己几$
U+E36E		^⿰𤣩乔$
U+E36F		^⿰𤣩凤$
U+E370		^⿰𤣩宝$
U+E371		^⿰𤣩丽$
U+E372		^⿰目义$
U+E373		^⿰石韦$
U+E374		^⿰礻仑$
U+E375		^⿰臣责$
U+E376		^⿱艹飞$
U+E377		^⿳爫冖见$
U+E378		^⿰讠易$
U+E379		^⿰讠乐$
U+E37A		^⿱夹贝$
U+E37C		^⿰车𦏾$
U+E37D		^⿺辶顼$
U+E37E		^⿰历阝$
U+E37F		^⿰钅己$
U+E380		^⿰钅云$
U+E381		^⿰钅予$
U+E382		^⿰钅永$
U+E383		^⿰钅示$
U+E384		^⿰钅臣$
U+E385		^⿰钅春$
U+E386		^⿰钅亮$
U+E387		^⿰钅恩$
U+E388		^⿰钅秦$
U+E389		^⿰钅贡$
U+E38A		^⿲钅豈凡$
U+E38B		^⿰钅震$
U+E38C		^⿰钅庆$
U+E38D		^⿰音页$
U+E38E		^⿰昱页$
U+E38F		^⿰马末$
U+E390		^⿰马昷$
U+E391		^⿱文鱼$
U+E392		^⿹？甲$
U+E393		^⿰土農$
U+E395		^⿰女莹$
U+E397		^⿰𤣩坚$
U+E398		^⿰纟容$
U+E399		^⿰钅丰$
U+E39A		^⿰钅攵$
U+E39B		^⿰钅介$
U+E39C		^⿰钅余$
U+E39D		^⿰钅义$
U+E39E		^⿰马青$
U+E39F		^⿰女凤$
U+E3A0		^⿰忄贞$
U+E3A1		^⿰木颉$
U+E3A2		^⿰火连$
U+E3A3		^⿰𤣩啬$
U+E3A4		^⿰𤣩𬞕$
U+E3A5		^⿰𤣩兰$
U+E3A6		^⿱𥫗风$
U+E3A7		^⿱艹维$
U+E3A8		^⿰钅用$
U+E3A9		^⿱娬贝$
U+E3AA		^⿰忄贝$
U+E3AB		^⿰𤣩处$
U+E3AC		^⿰钅林$
U+E3AD		^⿰钅昇$
U+E3AE		^⿰口丹$
U+E3AF		^⿰口歸$
U+E3B0		^⿰口泥$
U+E3B1		^⿰咅舍$
U+E3B2		^⿰平米$
U+E3B3		^⿱微血$
U+E3B4		^⿱津血$
U+E3B5		^⿰亚厘$
U+E3B6		^⿰亚页$
U+E3B7		^⿰囟页$
U+E3B8		^⿰石仑$
U+E3B9		^⿰钅乃$
U+E3BA		^⿰钅刀$
U+E3BB		^⿰钅加$
U+E3BC		^⿰钅卤$
U+E3BD		^⿰钅司$
U+E3BE		^⿰钅奈$
U+E3BF		^⿰钅妥$
U+E3C0		^⿰钅康$
U+E3C1		^⿰钅心$
U+E3C2		^⿰钅息$
U+E3C3		^⿰钅悉$
U+E3C4		^⿰钅替$
U+E3C5		^⿰钅秃$
U+E3C6		^⿰钅米$
U+E3C7		^⿰钅肯$
U+E3C8		^⿰钅虜$
U+E3C9		^⿰钅豆$
U+E3CA		^⿰钅路$
U+E3CB		^⿰钅轧$
U+E3CC		^⿰鱼东$
U+E3CD		^⿰讠凡$
U+E3CE		^⿰山亚$
U+E3CF		^⿱不圆$
U+E3D0		^⿺毛全$
U+E3D1		^⿰氵园$
U+E3D2		^⿱犬皿$
U+E3D3		^⿱𥫗报$
U+E3D4		^⿰钅忠$
U+E3D5		^⿰钅雚$
